customer_id,first_name,last_name,age,gender,email,phone,signup_date,loyalty_tier,city,state,country,marketing_channel,marketing_opt_in
924197,Margaret,Johnson,26.0,Female,margaret.johnson115@yahoo.com,232.318.1960,2024-11-29,Platinum,Colorado Springs,CO,USA,Email,True
562958,Daniel,Wagner,56.0,Male,daniel.wagner760@gmail.com,+1-438-863-7940,2024-11-03,Bronze,Miami,FL,USA,Search,True
381632,Gerald,Moore,32.0,Male,gerald.moore251@yahoo.com,916-315-5940,2024-02-02,Platinum,Tucson,AZ,USA,Search,False
363028,William,Gray,47.0,Male,william.gray143@hotmail.com,695-993-1034x1316,2024-07-01,Bronze,Seattle,WA,USA,Referral,True
176588,Mark,Diaz,36.0,Male,mark.diaz105@yahoo.com,(534)719-2832x764,2025-04-10,Bronze,Colorado Springs,CO,USA,Social Media,True
360610,Sarah,Parsons,46.0,Female,sarah.parsons759@gmail.com,,2024-11-13,Bronze,Colorado Springs,CO,USA,Referral,True
313802,Stephen,Day,35.0,Male,stephen.day90@gmail.com,423-988-4969x653,2024-05-12,Silver,Salem,OR,USA,Search,False
938521,Ann,Williams,27.0,Female,ann.williams433@gmail.com,(626)291-6697,2024-05-18,Bronze,Durham,NC,USA,Social Media,True
328815,Melanie,Wilson,24.0,Female,melanie.wilson31@hotmail.com,,2025-01-21,Silver,Philadelphia,PA,USA,Referral,False
674253,Christian,Farmer,49.0,Male,christian.farmer224@hotmail.com,001-380-395-7015x43039,2025-04-25,Bronze,Phoenix,AZ,USA,Search,False
547239,Monique,Cabrera,41.0,Female,monique.cabrera518@hotmail.com,001-822-778-2489x63834,2025-10-02,Bronze,Orlando,FL,USA,Search,True
492904,Jessica,Holmes,41.0,Female,jessica.holmes28@gmail.com,531.250.9839,2024-06-02,Gold,Naperville,IL,USA,Direct,True
140937,Benjamin,Welch,45.0,Male,benjamin.welch734@gmail.com,405-918-3473,2024-05-31,Silver,Orlando,FL,USA,Search,True
512461,David,Kennedy,51.0,Male,david.kennedy226@yahoo.com,311.265.6670,2025-08-14,Bronze,Sacramento,CA,USA,Referral,True
307937,Jennifer,Morgan,22.0,Female,jennifer.morgan604@gmail.com,933.587.2624,2024-10-29,Bronze,San Antonio,TX,USA,Direct,True
187821,Shelly,Jones,45.0,Female,shelly.jones829@hotmail.com,908-501-3267,2025-02-01,Bronze,Worcester,MA,USA,Social Media,True
736402,Michelle,Barrera,18.0,Non-binary,michelle.barrera778@gmail.com,(206)247-4687x2343,2025-02-20,Bronze,Houston,TX,USA,Email,True
781209,Paul,Brown,45.0,Male,paul.brown715@hotmail.com,,2025-01-26,Bronze,Charlotte,NC,USA,Social Media,True
720230,Lauren,Williams,50.0,Female,lauren.williams349@gmail.com,(799)385-4353x46247,2025-08-08,Bronze,Spokane,WA,USA,Search,True
912391,Alexandra,Howell,18.0,Female,alexandra.howell160@hotmail.com,,2024-12-20,Bronze,Springfield,IL,USA,Referral,True
118675,Dustin,Kim,43.0,Male,dustin.kim981@hotmail.com,001-449-680-8412x411,2024-10-07,Silver,Atlanta,GA,USA,Search,False
302361,Diane,Clark,41.0,Female,diane.clark105@yahoo.com,248.274.0164,2025-08-02,Bronze,Dallas,TX,USA,Social Media,True
853594,Felicia,Anderson,43.0,Female,felicia.anderson390@yahoo.com,(278)768-0112,2024-10-25,Silver,New York,NY,USA,Referral,True
522606,Lauren,Hernandez,46.0,Female,lauren.hernandez368@gmail.com,8454053315,2025-01-14,Gold,Houston,TX,USA,Email,True
690831,Tammy,Young,24.0,Female,tammy.young619@gmail.com,(360)825-6342,2025-07-05,Bronze,Pittsburgh,PA,USA,Email,False
640867,Shane,Garrison,59.0,Male,shane.garrison827@gmail.com,775.643.3036,2024-08-23,Silver,Rochester,NY,USA,Email,True
301108,Sean,Rasmussen,29.0,Male,sean.rasmussen748@yahoo.com,(386)885-0142x940,2024-10-13,Bronze,Phoenix,AZ,USA,Social Media,True
165878,Gregory,Hartman,44.0,Male,gregory.hartman550@yahoo.com,+1-581-769-3406x088,2025-03-07,Bronze,Savannah,GA,USA,Email,False
405144,Jessica,Rush,35.0,Female,jessica.rush997@yahoo.com,+1-551-848-4656x482,2024-11-30,Silver,Los Angeles,CA,USA,Referral,False
461301,Maurice,Gray,,Male,maurice.gray81@hotmail.com,,2025-04-29,Platinum,San Antonio,TX,USA,Referral,False
490754,Rachel,Lawson,34.0,Female,rachel.lawson301@yahoo.com,377.538.7214x895,2024-06-10,Gold,Scottsdale,AZ,USA,Social Media,True
908857,Megan,Walker,33.0,Female,megan.walker634@gmail.com,(500)837-9176,2024-09-12,Gold,Allentown,PA,USA,Email,False
426751,Johnny,Sanchez,50.0,Male,johnny.sanchez592@hotmail.com,001-901-463-2870x831,2024-10-06,Silver,Rochester,NY,USA,Search,True
397949,Robert,Contreras,35.0,Male,robert.contreras722@hotmail.com,+1-557-698-6872x774,2024-07-02,Gold,Philadelphia,PA,USA,Social Media,True
225295,Pamela,Boyd,28.0,Female,pamela.boyd47@hotmail.com,347.414.3455,2024-11-27,Bronze,Miami,FL,USA,Search,False
664709,Chris,Reyes,49.0,Male,chris.reyes792@gmail.com,001-831-266-5876x036,2024-05-29,Bronze,San Francisco,CA,USA,Search,False
544683,Scott,Cannon,44.0,Male,scott.cannon82@yahoo.com,805.946.6889x3734,2024-11-01,Silver,San Diego,CA,USA,Social Media,True
102475,Allen,Rogers,47.0,Male,allen.rogers888@hotmail.com,(427)929-8069x9016,2024-03-12,Bronze,Boston,MA,USA,Social Media,True
873824,Christopher,Green,27.0,Male,christopher.green390@yahoo.com,975.256.4641,2024-08-22,Bronze,Philadelphia,PA,USA,Email,True
225284,Nicole,Williams,33.0,Female,nicole.williams465@yahoo.com,,2025-03-16,Silver,Tampa,FL,USA,Social Media,False
733216,Kara,Wilson,52.0,Female,kara.wilson167@gmail.com,,2024-09-07,Silver,Dallas,TX,USA,Social Media,True
823236,Jennifer,Espinoza,37.0,Female,jennifer.espinoza364@gmail.com,001-831-749-1905,2025-06-09,Silver,Dallas,TX,USA,Email,False
781546,Andrea,Holland,33.0,Female,andrea.holland687@gmail.com,(971)865-7262x84987,2024-07-24,Silver,Buffalo,NY,USA,Referral,True
142237,Samantha,Vargas,29.0,Female,samantha.vargas719@yahoo.com,714.273.7996,2024-12-01,Bronze,Rochester,NY,USA,Direct,True
435649,Kathleen,Nguyen,36.0,Female,kathleen.nguyen664@yahoo.com,554.354.9480,2025-02-10,Bronze,Naperville,IL,USA,Search,True
647640,David,Russell,26.0,Male,david.russell624@hotmail.com,001-937-777-0143x63495,2024-11-02,Bronze,Boston,MA,USA,Search,True
750415,Jeffery,Reese,34.0,Male,jeffery.reese176@yahoo.com,(574)544-3135x182,2024-08-28,Silver,Scottsdale,AZ,USA,Search,True
273148,Nancy,Hill,47.0,Female,nancy.hill747@hotmail.com,001-689-241-3435x24082,2025-08-15,Bronze,Durham,NC,USA,Search,True
434982,Valerie,Tran,34.0,Female,valerie.tran168@hotmail.com,(771)409-4777,2024-10-10,Silver,San Francisco,CA,USA,Search,True
642667,Vincent,King,64.0,Male,vincent.king389@yahoo.com,616-371-9022,2025-05-07,Bronze,Jacksonville,FL,USA,Email,True
346901,Wendy,Wilson,37.0,Female,wendy.wilson948@yahoo.com,+1-299-338-6774x964,2025-03-11,Silver,Savannah,GA,USA,Email,True
340644,Theresa,Clark,42.0,Female,theresa.clark702@gmail.com,912-632-8120x679,2024-05-18,Bronze,Buffalo,NY,USA,Social Media,True
332361,Amanda,Roberts,53.0,Female,amanda.roberts864@yahoo.com,001-671-434-9361x832,2025-02-02,Silver,Boulder,CO,USA,Referral,True
